Sun Nov 15 11:39:17 CET 2020
Opening instancias/MANN_a9.clq.txt (45 nodes, 918 edges)

LibGA Version 1.00
(c) Copyright Arthur L. Corcoran, 1992, 1993.  All rights reserved.

GA Configuration Information:
-----------------------------
Basic Info
   Random Seed       : 400
   Data Type         : Bit
   Init Pool Entered : Randomly
   Chromosome Length : 45
   Pool Size         : 200
   Number of Trials  : 10000 iterations, or until convergence
   Minimize          : No
   Elitism           : Yes
   Scale Factor      : 0

Functions
   GA          : generational (Gap = 0)
   Selection   : roulette
   Crossover   : simple (Rate = 0.01)
   Mutation    : simple_invert (Rate = 0.5)
   Replacement : append

Reports
   Type     : Short
   Interval : 100
-----------------------------

Gener    Min      Max      Ave    Variance  Std Dev  Tot Fit    Best
 5900  0.492647  0.677778    0.657   0.00311   0.0558  131.442  0.677778
 6000  0.491667  0.677778    0.661   0.00257   0.0507  132.179  0.677778
 6100  0.488971  0.677778    0.666   0.00174   0.0417  133.149  0.677778
 6200  0.492647  0.677778    0.661   0.00273   0.0523  132.111  0.677778
 6300  0.492647  0.677778    0.659   0.00287   0.0535  131.726  0.677778
 6400  0.492647  0.677778    0.667   0.00173   0.0416  133.348  0.677778
 6500  0.492647  0.677778    0.668   0.00142   0.0377   133.64  0.677778
 6600  0.492647  0.677778    0.661   0.00243   0.0493   132.27  0.677778
 6700  0.488971  0.677778     0.66   0.00277   0.0527   132.05  0.677778
 6800  0.492647  0.677778    0.669   0.00129    0.036  133.767  0.677778
 6900  0.492647  0.677778    0.665   0.00188   0.0434  133.046  0.677778
 7000  0.491667  0.677778    0.667    0.0016     0.04  133.443  0.677778
 7100  0.488971  0.677778    0.664   0.00219   0.0468   132.76  0.677778
 7200  0.491667  0.677778    0.666   0.00173   0.0416  133.187  0.677778
 7300  0.490196  0.677778    0.664    0.0022   0.0469  132.723  0.677778
 7400  0.488971  0.677778    0.665    0.0019   0.0436  133.096  0.677778
 7500  0.491667  0.677778    0.669   0.00115   0.0339  133.855  0.677778
 7600  0.492647  0.677778     0.67   0.00113   0.0336   133.99  0.677778
 7700  0.492647  0.677778    0.662   0.00231    0.048   132.48  0.677778
 7800  0.490196  0.677778    0.668   0.00148   0.0384  133.654  0.677778
 7900  0.492647  0.677778    0.666   0.00188   0.0434  133.104  0.677778
 8000  0.488971  0.677778    0.661   0.00248   0.0498  132.275  0.677778
 8100  0.492647  0.677778    0.666   0.00173   0.0416  133.245  0.677778
 8200  0.492647  0.677778    0.668   0.00159   0.0399  133.526  0.677778
 8300  0.492647  0.677778    0.662   0.00246   0.0496  132.378  0.677778
 8400  0.492647  0.677778    0.661   0.00261   0.0511  132.171  0.677778
 8500  0.492647  0.677778     0.67   0.00113   0.0337   134.03  0.677778
 8600  0.491667  0.677778    0.663   0.00234   0.0484  132.528  0.677778
 8700  0.492647  0.677778    0.667    0.0016     0.04   133.49  0.677778
 8800  0.490476  0.677778    0.663    0.0022   0.0469  132.639  0.677778
 8900  0.492647  0.677778    0.665   0.00202    0.045  132.982  0.677778
 9000  0.488971  0.677778    0.668   0.00144   0.0379  133.585  0.677778
 9100  0.492647  0.677778    0.668   0.00159   0.0399  133.504  0.677778
 9200  0.492647  0.677778    0.666   0.00173   0.0415  133.226  0.677778
 9300  0.492647  0.677778    0.663   0.00218   0.0467  132.674  0.677778
 9400  0.488971  0.677778    0.659   0.00286   0.0535  131.704  0.677778
 9500  0.491667  0.677778    0.665   0.00187   0.0433  133.076  0.677778
 9600  0.492647  0.677778    0.663   0.00216   0.0464  132.643  0.677778
 9700  0.488971  0.677778    0.669    0.0013   0.0361  133.816  0.677778
 9800  0.491667  0.677778    0.665   0.00204   0.0451  132.951  0.677778
 9900  0.492647  0.677778    0.663   0.00232   0.0482   132.54  0.677778
10000  0.492647  0.677778    0.663   0.00214   0.0463  132.698  0.677778

The specified number of iterations has been reached.

Best: 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 1 0 0 1 0
      0 0 0 1 0 1 1 0 0 0 1 1 0 1 0 0 0 1 1 0
      0 1 1 0 0  (0.677778)


Best chrom:  0.0000  0.0000  0.0000  0.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.0000  0.0000  0.0000  1.0000  0.0000  1.0000  1.0000  0.0000  0.0000  1.0000  0.0000  0.0000  0.0000  0.0000  1.0000  0.0000  1.0000  1.0000  0.0000  0.0000  0.0000  1.0000  1.0000  0.0000  1.0000  0.0000  0.0000  0.0000  1.0000  1.0000  0.0000  0.0000  1.0000  1.0000  0.0000  0.0000     (fitness: 0.677778)

------------------- ¡CLIQUE ENCONTRADO DE 16! :) -------------------

Opening instancias/Toy4.clq.txt (4 nodes, 5 edges)

LibGA Version 1.00
(c) Copyright Arthur L. Corcoran, 1992, 1993.  All rights reserved.

GA Configuration Information:
-----------------------------
Basic Info
   Random Seed       : 400
   Data Type         : Bit
   Init Pool Entered : Randomly
   Chromosome Length : 4
   Pool Size         : 200
   Number of Trials  : 10000 iterations, or until convergence
   Minimize          : No
   Elitism           : Yes
   Scale Factor      : 0

Functions
   GA          : generational (Gap = 0)
   Selection   : roulette
   Crossover   : simple (Rate = 0.01)
   Mutation    : simple_invert (Rate = 0.5)
   Replacement : append

Reports
   Type     : Short
   Interval : 100
-----------------------------

Gener    Min      Max      Ave    Variance  Std Dev  Tot Fit    Best
-----  -------  -------  -------  --------  -------  -------  -------
    0        0    0.875     -NAN      -NAN     -NAN     -NAN    0.875
New scale factor = 1
    1        0    0.875     -NAN      -NAN     -NAN     -NAN    0.875
New scale factor = 0
  100  0.416667    0.875    0.857   0.00344   0.0587  171.458    0.875
  200  0.416667    0.875    0.851   0.00477   0.0691  170.125    0.875
  300  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
  400  0.416667    0.875    0.857    0.0027   0.0519  171.417    0.875
  500     0.75    0.875    0.859   0.00178   0.0421   171.75    0.875
  600  0.416667    0.875    0.855   0.00361   0.0601  171.083    0.875
  700     0.75    0.875    0.864   0.00122   0.0349  172.875    0.875
  800  0.416667    0.875    0.854   0.00452   0.0672   170.75    0.875
  900  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 1000  0.416667    0.875    0.855   0.00286   0.0535  171.042    0.875
 1100  0.416667    0.875    0.854   0.00372    0.061  170.833    0.875
 1200  0.416667    0.875    0.855   0.00441   0.0664      171    0.875
 1300  0.416667    0.875    0.856   0.00281    0.053  171.167    0.875
 1400     0.75    0.875    0.861   0.00154   0.0392   172.25    0.875
 1500     0.75    0.875    0.861    0.0016     0.04  172.125    0.875
 1600  0.416667    0.875    0.856   0.00436    0.066  171.125    0.875
 1700  0.416667    0.875     0.85   0.00482   0.0694      170    0.875
 1800  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 1900  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 2000  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 2100  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 2200  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 2300  0.416667    0.875    0.861   0.00228   0.0478  172.292    0.875
 2400  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 2500     0.75    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 2600  0.416667    0.875    0.855   0.00441   0.0664      171    0.875
 2700  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 2800     0.75    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 2900  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 3000  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 3100  0.416667    0.875    0.847   0.00734   0.0857  169.375    0.875
 3200  0.416667    0.875    0.852   0.00467   0.0683  170.375    0.875
 3300     0.75    0.875     0.86   0.00166   0.0407      172    0.875
 3400     0.75    0.875    0.861    0.0016     0.04  172.125    0.875
 3500  0.416667    0.875    0.858   0.00339   0.0582  171.583    0.875
 3600  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 3700  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 3800  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 3900  0.416667    0.875     0.86   0.00247   0.0497  171.917    0.875
 4000  0.416667    0.875    0.857    0.0035   0.0592  171.333    0.875
 4100  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 4200     0.75    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 4300  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 4400  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 4500  0.416667    0.875    0.852   0.00467   0.0683  170.375    0.875
 4600     0.75    0.875    0.859   0.00178   0.0421   171.75    0.875
 4700  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 4800  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 4900  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 5000  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 5100  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 5200  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 5300     0.75    0.875    0.862   0.00148   0.0384  172.375    0.875
 5400  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 5500  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 5600  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 5700  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 5800  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 5900  0.333333    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 6000  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 6100  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 6200  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 6300  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 6400  0.416667    0.875     0.85   0.00557   0.0746  170.042    0.875
 6500  0.416667    0.875    0.856   0.00275   0.0525  171.292    0.875
 6600  0.416667    0.875    0.855   0.00366   0.0605  170.958    0.875
 6700  0.416667    0.875    0.854   0.00372    0.061  170.833    0.875
 6800  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 6900  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 7000  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 7100  0.416667    0.875    0.855   0.00361   0.0601  171.083    0.875
 7200  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 7300  0.416667    0.875    0.862   0.00222   0.0471  172.417    0.875
 7400     0.75    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 7500  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 7600  0.416667    0.875    0.857    0.0035   0.0592  171.333    0.875
 7700     0.75    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 7800  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 7900     0.75    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 8000  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 8100  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 8200  0.416667    0.875    0.857   0.00344   0.0587  171.458    0.875
 8300  0.416667    0.875    0.851   0.00477   0.0691  170.125    0.875
 8400  0.416667    0.875     0.86   0.00241   0.0491  172.042    0.875
 8500  0.416667    0.875     0.86   0.00241   0.0491  172.042    0.875
 8600  0.416667    0.875     0.86   0.00241   0.0491  172.042    0.875
 8700  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 8800  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 8900  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 9000  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 9100  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 9200     0.75    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 9300  0.416667    0.875    0.861   0.00309   0.0556  172.208    0.875
 9400  0.416667    0.875    0.855   0.00441   0.0664      171    0.875
 9500  0.416667    0.875    0.858   0.00339   0.0582  171.583    0.875
 9600  0.416667    0.875     0.85   0.00557   0.0746  170.042    0.875
 9700     0.75    0.875     0.86   0.00166   0.0407      172    0.875
 9800  0.333333    0.875     -NAN      -NAN     -NAN     -NAN    0.875
 9900     0.75    0.875     -NAN      -NAN     -NAN     -NAN    0.875
10000  0.416667    0.875     -NAN      -NAN     -NAN     -NAN    0.875

The specified number of iterations has been reached.

Best: 0 1 1 1  (0.875)


Best chrom:  0.0000  1.0000  1.0000  1.0000     (fitness: 0.875)

------------------- ¡CLIQUE ENCONTRADO DE 3! :) -------------------

Opening instancias/Toy6.clq.txt (6 nodes, 11 edges)

LibGA Version 1.00
(c) Copyright Arthur L. Corcoran, 1992, 1993.  All rights reserved.

GA Configuration Information:
-----------------------------
Basic Info
   Random Seed       : 400
   Data Type         : Bit
   Init Pool Entered : Randomly
   Chromosome Length : 6
   Pool Size         : 200
   Number of Trials  : 10000 iterations, or until convergence
   Minimize          : No
   Elitism           : Yes
   Scale Factor      : 0

Functions
   GA          : generational (Gap = 0)
   Selection   : roulette
   Crossover   : simple (Rate = 0.01)
   Mutation    : simple_invert (Rate = 0.5)
   Replacement : append

Reports
   Type     : Short
   Interval : 100
-----------------------------

Gener    Min      Max      Ave    Variance  Std Dev  Tot Fit    Best
-----  -------  -------  -------  --------  -------  -------  -------
    0        0  0.833333     -NAN      -NAN     -NAN     -NAN  0.833333
New scale factor = 1
    1  0.333333  0.833333    0.382    0.0147    0.121     76.4  0.833333
New scale factor = 0
  100     0.45  0.833333     -NAN      -NAN     -NAN     -NAN  0.833333
  200      0.4  0.833333    0.812     0.003   0.0548    162.4  0.833333
  300      0.4  0.833333    0.813    0.0046   0.0679   162.65  0.833333
  400     0.45  0.833333    0.815   0.00307   0.0554  163.017  0.833333
  500     0.45  0.833333    0.816   0.00239   0.0489   163.15  0.833333
  600      0.4  0.833333     0.82    0.0018   0.0424    163.9  0.833333
  700      0.4  0.833333    0.812   0.00457   0.0676  162.483  0.833333
  800      0.4  0.833333    0.814   0.00419   0.0647  162.733  0.833333
  900      0.4  0.833333    0.815    0.0033   0.0574      163  0.833333
 1000     0.45  0.833333    0.819   0.00155   0.0394  163.867  0.833333
 1100      0.4  0.833333    0.817   0.00245   0.0495   163.35  0.833333
 1200     0.45  0.833333    0.809   0.00455   0.0675   161.75  0.833333
 1300  0.416667  0.833333    0.812   0.00439   0.0663  162.467  0.833333
 1400      0.4  0.833333    0.811   0.00394   0.0628  162.167  0.833333
 1500      0.4  0.833333    0.814   0.00343   0.0585   162.75  0.833333
 1600     0.45  0.833333    0.813   0.00416   0.0645  162.667  0.833333
 1700      0.4  0.833333     -NAN      -NAN     -NAN     -NAN  0.833333
 1800      0.4  0.833333    0.812   0.00587   0.0766   162.35  0.833333
 1900     0.45  0.833333    0.817   0.00235   0.0484  163.317  0.833333
 2000      0.4  0.833333    0.815   0.00262   0.0512  162.933  0.833333
 2100  0.416667  0.833333    0.822   0.00211   0.0459  164.367  0.833333
 2200      0.4  0.833333    0.816   0.00326   0.0571  163.167  0.833333
 2300      0.4  0.833333    0.816   0.00451   0.0671  163.283  0.833333
 2400      0.4  0.833333    0.813   0.00278   0.0528  162.517  0.833333
 2500     0.45  0.833333    0.817   0.00166   0.0408   163.45  0.833333
 2600      0.4  0.833333    0.814   0.00287   0.0536  162.767  0.833333
 2700      0.4  0.833333    0.814   0.00286   0.0535  162.733  0.833333
 2800     0.45  0.833333    0.819   0.00274   0.0523  163.767  0.833333
 2900      0.4  0.833333    0.808   0.00545   0.0739  161.617  0.833333
 3000     0.45  0.833333    0.816   0.00294   0.0542  163.267  0.833333
 3100  0.666667  0.833333     0.82   0.00101   0.0317      164  0.833333
 3200      0.4  0.833333    0.817   0.00245   0.0495   163.35  0.833333
 3300      0.4  0.833333    0.814   0.00395   0.0628    162.7  0.833333
 3400      0.4  0.833333    0.815   0.00385   0.0621  162.917  0.833333
 3500     0.45  0.833333    0.821    0.0016     0.04    164.2  0.833333
 3600      0.4  0.833333    0.813   0.00475   0.0689  162.517  0.833333
 3700  0.416667  0.833333    0.819   0.00178   0.0421   163.75  0.833333
 3800      0.4  0.833333     -NAN      -NAN     -NAN     -NAN  0.833333
 3900      0.4  0.833333    0.825   0.00137    0.037  165.067  0.833333
 4000     0.45  0.833333    0.816   0.00178   0.0422  163.283  0.833333
 4100     0.45  0.833333    0.819   0.00155   0.0394  163.867  0.833333
 4200      0.4  0.833333    0.812   0.00485   0.0697  162.367  0.833333
 4300      0.4  0.833333    0.821   0.00177   0.0421  164.233  0.833333
 4400     0.45  0.833333    0.819   0.00167   0.0409    163.7  0.833333
 4500  0.416667  0.833333     -NAN      -NAN     -NAN     -NAN  0.833333
 4600  0.416667  0.833333     0.82   0.00178   0.0421      164  0.833333
 4700      0.4  0.833333     0.81   0.00512   0.0715  162.067  0.833333
 4800      0.4  0.833333     0.82    0.0025     0.05    163.9  0.833333
 4900      0.4  0.833333     -NAN      -NAN     -NAN     -NAN  0.833333
 5000      0.4  0.833333    0.815   0.00333   0.0577  162.967  0.833333
 5100  0.666667  0.833333    0.818   0.00128   0.0358    163.5  0.833333
 5200      0.4  0.833333     0.81   0.00461   0.0679  162.033  0.833333
 5300     0.45  0.833333    0.817   0.00233   0.0482    163.4  0.833333
 5400      0.4  0.833333    0.815    0.0026    0.051  163.017  0.833333
 5500     0.45  0.833333     -NAN      -NAN     -NAN     -NAN  0.833333
 5600      0.4  0.833333    0.818   0.00249   0.0499   163.65  0.833333
 5700  0.416667  0.833333    0.819   0.00241   0.0491  163.783  0.833333
 5800     0.45  0.833333    0.819   0.00158   0.0397  163.783  0.833333
 5900      0.4  0.833333     -NAN      -NAN     -NAN     -NAN  0.833333
 6000     0.45  0.833333    0.817   0.00235   0.0484  163.317  0.833333
 6100  0.416667  0.833333    0.819   0.00175   0.0419  163.833  0.833333
 6200      0.4  0.833333    0.814   0.00391   0.0625  162.867  0.833333
 6300     0.35  0.833333    0.815   0.00291    0.054  163.083  0.833333
 6400     0.75  0.833333     0.82  0.000938   0.0306      164  0.833333
 6500      0.4  0.833333     -NAN      -NAN     -NAN     -NAN  0.833333
 6600      0.4  0.833333     0.82    0.0023   0.0479  163.933  0.833333
 6700      0.4  0.833333     -NAN      -NAN     -NAN     -NAN  0.833333
 6800     0.45  0.833333     0.82   0.00153   0.0391   163.95  0.833333
 6900      0.4  0.833333    0.808    0.0041    0.064  161.667  0.833333
 7000      0.4  0.833333     0.82   0.00227   0.0477  164.017  0.833333
 7100      0.4  0.833333     0.81   0.00472   0.0687  162.067  0.833333
 7200  0.416667  0.833333    0.809   0.00288   0.0536    161.7  0.833333
 7300     0.45  0.833333     -NAN      -NAN     -NAN     -NAN  0.833333
 7400  0.666667  0.833333    0.821   0.00096    0.031  164.167  0.833333
 7500      0.4  0.833333    0.816   0.00261   0.0511  163.267  0.833333
 7600     0.45  0.833333     -NAN      -NAN     -NAN     -NAN  0.833333
 7700     0.75  0.833333    0.821   0.00089   0.0298  164.167  0.833333
 7800     0.45  0.833333    0.818   0.00219   0.0468   163.65  0.833333
 7900      0.4  0.833333    0.816   0.00333   0.0577  163.167  0.833333
 8000      0.4  0.833333    0.817   0.00245   0.0495   163.35  0.833333
 8100  0.666667  0.833333    0.818    0.0011   0.0332  163.667  0.833333
 8200      0.4  0.833333    0.814   0.00292    0.054   162.85  0.833333
 8300     0.45  0.833333    0.818    0.0028   0.0529  163.517  0.833333
 8400     0.45  0.833333    0.814   0.00254   0.0504  162.817  0.833333
 8500      0.4  0.833333    0.814   0.00432   0.0657  162.783  0.833333
 8600      0.4  0.833333    0.819   0.00311   0.0558   163.75  0.833333
 8700  0.416667  0.833333    0.812   0.00318   0.0564    162.4  0.833333
 8800      0.4  0.833333     -NAN      -NAN     -NAN     -NAN  0.833333
 8900  0.416667  0.833333    0.809   0.00338   0.0581  161.733  0.833333
 9000      0.4  0.833333    0.816   0.00268   0.0518  163.267  0.833333
 9100      0.4  0.833333    0.814   0.00327   0.0572   162.85  0.833333
 9200     0.45  0.833333    0.814   0.00354   0.0595  162.883  0.833333
 9300     0.45  0.833333     -NAN      -NAN     -NAN     -NAN  0.833333
 9400      0.4  0.833333    0.809   0.00534   0.0731   161.85  0.833333
 9500      0.4  0.833333    0.814    0.0033   0.0575    162.8  0.833333
 9600      0.4  0.833333    0.815   0.00374   0.0612  163.083  0.833333
 9700     0.45  0.833333    0.816   0.00294   0.0542  163.267  0.833333
 9800      0.4  0.833333     -NAN      -NAN     -NAN     -NAN  0.833333
 9900      0.4  0.833333     -NAN      -NAN     -NAN     -NAN  0.833333
10000      0.4  0.833333    0.819    0.0035   0.0592   163.75  0.833333

The specified number of iterations has been reached.

Best: 1 1 0 1 0 1  (0.833333)


Best chrom:  1.0000  1.0000  0.0000  1.0000  0.0000  1.0000     (fitness: 0.833333)

------------------- ¡CLIQUE ENCONTRADO DE 4! :) -------------------

Opening instancias/Toy8.clq.txt (8 nodes, 23 edges)

LibGA Version 1.00
(c) Copyright Arthur L. Corcoran, 1992, 1993.  All rights reserved.

GA Configuration Information:
-----------------------------
Basic Info
   Random Seed       : 400
   Data Type         : Bit
   Init Pool Entered : Randomly
   Chromosome Length : 8
   Pool Size         : 200
   Number of Trials  : 10000 iterations, or until convergence
   Minimize          : No
   Elitism           : Yes
   Scale Factor      : 0

Functions
   GA          : generational (Gap = 0)
   Selection   : roulette
   Crossover   : simple (Rate = 0.01)
   Mutation    : simple_invert (Rate = 0.5)
   Replacement : append

Reports
   Type     : Short
   Interval : 100
-----------------------------

Gener    Min      Max      Ave    Variance  Std Dev  Tot Fit    Best
-----  -------  -------  -------  --------  -------  -------  -------
    0        0   0.8125     -NAN      -NAN     -NAN     -NAN   0.8125
New scale factor = 1
    1      0.4   0.8125     0.41   0.00188   0.0433  82.0179   0.8125
New scale factor = 0
  100  0.433333   0.8125    0.796   0.00312   0.0559  159.113   0.8125
  200  0.433333   0.8125    0.796   0.00321   0.0567  159.233   0.8125
  300  0.433333   0.8125      0.8   0.00176   0.0419  160.025   0.8125
  400     0.45   0.8125    0.792   0.00346   0.0588  158.379   0.8125
  500  0.433333   0.8125    0.798   0.00137    0.037  159.683   0.8125
  600  0.433333   0.8125    0.796   0.00363   0.0603  159.233   0.8125
